Tulane,,,,,,,,,,,,,,,,46,47,44,45,48,47,51,48,46,50,50,51,47,52,54
Baylor,,,,,,,,,,,,,,,,51,53,55,65,64,56,51,54,51,56,55,51,50,48,50
UC Hastings,,,,,,,,,,,,,,,,43,36,38,39,42,42,44,48,54,59,50,54,58,62,59
Temple,,,,,,,,,,,,,,,,58,60,60,65,72,61,58,56,61,52,50,53,47,48,56
Richmond,,,,,,,,,,,,,,,,83,77,68,77,86,67,58,53,51,52,55,57,50,52,54
Houston,,,,,,,,,,,,,,,,73,60,55,59,60,56,57,48,58,59,50,54,56,59,56
Pepperdine,,,,,,,,,,,,,,,,89,66,59,55,52,54,49,61,54,52,65,72,,51,47
Connecticut,,,,,,,,,,,,,,,,50,47,46,52,54,56,62,58,54,63,65,54,50,52,50
Cardozo,,,,,,,,,,,,,,,,54,52,55,49,52,50,56,58,64,75,74,65,56,52,53
Georgia State,,,,,,,,,,,,,,,,98,82,77,65,60,61,58,54,64,56,57,65,65,67,76
Tennessee,,,,,,,,,,,,,,,,62,53,52,59,60,56,69,61,72,52,65,57,65,59,70
Seton,,,,,,,,,,,,,,,,73,70,66,77,72,61,69,64,68,63,65,57,59,59,62
Kentucky,,,,,,,,,,,,,,,,67,60,59,55,64,71,62,58,58,63,60,57,65,71,70
Case Western,,,,,,,,,,,,,,,,51,53,63,55,56,61,67,68,64,59,57,62,65,71,76
"Loyola, L.A.",,,,,,,,,,,,,,,,67,66,63,71,56,54,51,68,87,75,65,65,65,62,62
Penn State,,,,,,,,,,,,,,,,89,91,77,65,72,60,76,64,51,71,86,65,59,71,62
U Miami,,,,,,,,,,,,,,,,67,70,82,71,60,77,69,76,61,63,60,77,65,67,67
UNLV,,,,,,,,,,,,,,,,111,100,88,75,78,71,76,68,83,67,78,62,59,58,62
U Oklahoma,,,,,,,,,,,,,,,,83,70,70,71,72,71,82,68,58,67,60,72,63,71,76
Penn State,,,,,,,,,,,,,,,,89,91,77,65,72,60,76,64,51,71,86,82,74,64,60
U Nebraska,,,,,,,,,,,,,,,,73,77,73,111,93,84,89,61,54,56,57,57,80,77,76
American,,,,,,,,,,,,,,,,46,47,46,45,48,50,49,56,72,71,78,86,80,77,76
U Denver,,,,,,,,,,,,,,,,73,77,88,77,80,77,69,64,68,67,72,76,63,67,74
U Missouri,,,,,,,,,,,,,,,,62,66,59,65,93,107,76,76,64,59,65,65,65,64,67
U Kansas,,,,,,,,,,,,,,,,73,66,73,65,67,79,89,86,68,67,65,65,74,67,70
Loyola Chicago,,,,,,,,,,,,,,,,73,70,82,87,78,71,67,76,68,78,72,82,74,77,70
Cincinnati,,,,,,,,,,,,,,,,54,57,52,52,56,61,69,80,79,82,60,72,65,83,83
U San Diego,,,,,,,,,,,,,,,,67,85,82,61,56,67,65,68,79,71,74,77,95,86,83
Northeastern,,,,,,,,,,,,,,,,89,85,88,94,86,71,76,86,93,87,82,65,74,64,67
U New Mexico,,,,,,,,,,,,,,,,78,70,68,77,67,79,69,64,72,71,60,77,88,91,99
Chicago-Kent,,,,,,,,,,,,,,,,62,60,66,77,80,61,62,68,72,78,86,92,85,87,83
U Pittsburgh,,,,,,,,,,,,,,,,62,57,73,71,67,71,69,91,81,78,78,82,74,77,76
Brooklyn,,,,,,,,,,,,,,,,58,60,63,61,67,67,65,80,83,78,97,88,83,71,83
Arkansas-Fay.,,,,,,,,,,,,,,,,111,111,111,94,86,84,89,68,61,75,86,77,88,91,90
Villanova,,,,,,,,,,,,,,,,62,60,68,61,67,84,101,98,93,87,74,77,65,71,62
Rutgers,,,,,,,,,,,,,,,,75,74,77,82,80,84,91,89,82,95,92,62,74,77,76
St. John's,,,,,,,,,,,,,,,,83,70,88,87,72,95,76,98,107,82,74,72,83,77,74
Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,112,92,80,83,60
Lewis & Clark,,,,,,,,,,,,,,,,78,82,73,61,64,67,58,80,72,94,92,100,95,104,93
U Oregon,,,,,,,,,,,,,,,,73,82,82,77,80,79,82,94,100,82,78,86,85,83,88
LSU,,,,,,,,,,,,,,,,89,91,88,75,80,84,76,76,72,94,82,96,88,100,96
